source,mean_velocity,max_velocity,mean_acceleration,max_acceleration,mean_jerk,max_jerk,std_velocity,std_acceleration,std_jerk,label
punch_2025-04-30_15-50-40_pose_overlay_keypoints,4.220881784627109,29.65946847723795,64.78189807960038,375.5503068277837,1168.3244924259361,6673.901166109104,5.475804122818997,74.16023251062853,1304.6266241650285,punch
punch_2025-05-04_13-37-06_pose_overlay_keypoints,9.058784396632845,35.474662717816265,142.61971559169345,471.58117990598777,2516.7655229006095,8855.771229655837,7.0887346798203374,101.11940287561482,1720.3353425979785,punch
punch_2025-04-30_15-51-01_pose_overlay_keypoints,6.747473158322175,32.87886163372457,103.17987528808057,438.4029538822094,1816.589283204274,7989.144411232,6.8454276122761435,106.1465141503953,1885.862024627346,punch
punch_2025-04-30_15-51-11_pose_overlay_keypoints,4.799596526832652,15.283985237192255,72.85909244586152,268.31043323183263,1307.5644250844912,4614.623199260523,3.3635619652890165,50.76317925358004,881.0682254841897,punch
punch_2025-05-01_13-38-01_pose_overlay_keypoints,8.70541011552638,29.738818587183687,136.7259783021472,333.67254582725474,2383.4821552032818,6055.715252790491,4.955677909924394,72.83001177893236,1293.500406940366,punch
punch_2025-05-01_13-37-40_pose_overlay_keypoints,8.005112554309074,23.304897447661883,124.93988688236266,357.6279224756621,2198.207673159514,6454.56249712721,4.777247927191619,75.35134300997179,1385.636593866353,punch
punch_2025-05-04_13-37-22_pose_overlay_keypoints,10.9265554596948,42.398394186164865,168.44006937290072,699.6554967115007,2815.5362872019746,11317.45764006569,8.705605887288897,132.7602490702886,2244.0967599814444,punch
punch_2025-05-01_13-38-15_pose_overlay_keypoints,10.389251850263463,32.67166828937196,172.7071335026898,559.2624557748201,3111.283362087601,9181.505865635005,5.740181056565675,91.82691110163536,1693.5036795242297,punch
punch_2025-05-04_13-36-58_pose_overlay_keypoints,9.044733712263834,41.071012219492744,139.9744643285949,724.0936465281249,2378.3649164051653,10987.803139000507,7.9586703095937334,128.14647090492812,2206.3595239440306,punch
punch_2025-04-30_15-51-22_pose_overlay_keypoints,4.499032643417491,25.32634746178446,64.89814718350229,254.63480947476796,1130.4682125305187,4443.009290497613,4.4488737773105695,57.07235266593421,990.3650917271166,punch
punch_2025-05-04_13-36-33_pose_overlay_keypoints,11.101136927291057,42.255976276900995,172.24852902464193,527.453916147784,2925.3621195643354,10381.660862185801,7.683918400723659,105.6707010490439,1889.6938322830406,punch
punch_2025-05-04_13-36-07_pose_overlay_keypoints,8.404950484207552,39.168550211772754,132.81419974415493,505.7926454682691,2228.572545777035,7089.677565092359,6.188908430275847,92.51165222447419,1456.7033598268035,punch
punch_2025-05-01_13-37-50_pose_overlay_keypoints,7.922842001052921,36.47985979641447,127.24235846029926,702.4887691500556,2231.192844869849,12491.590389244699,6.381768550539531,106.59560756975138,1926.3800090840934,punch
punch_2025-05-01_13-38-26_pose_overlay_keypoints,9.873760281898102,32.34299518991778,154.58754116060132,488.9396509301909,2713.3131707918965,8481.96848105732,6.023624584836831,96.23057001873678,1675.4122776678637,punch
punch_2025-05-04_13-36-40_pose_overlay_keypoints,8.592382527904661,29.81771648638106,126.66503000675849,389.821323435742,2152.6374967368,6912.773920177749,6.102334964654759,77.36197832620161,1298.4129810303978,punch
punch_2025-05-02_14-10-44_pose_overlay_keypoints,11.546988513789056,50.928026525432436,185.2567886921539,750.5625268922124,3207.0018665800626,11398.265187395282,10.06469537895608,157.36681133655415,2733.344920891757,punch
punch_2025-05-04_13-36-16_pose_overlay_keypoints,9.5317095985169,34.11833319432301,147.56803101939704,425.01345400439925,2650.1117763421316,7715.115213349952,6.710540756406112,97.45652085840801,1740.4561935239562,punch
punch_2025-05-04_13-36-25_pose_overlay_keypoints,9.533720609237044,32.89494856809247,155.82031007157428,612.3999679373483,2706.1182015331515,12174.135196929377,6.852279069211416,117.96143470214017,2127.3775725549635,punch
